stepCount, stepTime,meanA,varA,meanB,varB,meanC,varC,meanD,varD,reaction
1,4.98748708426208E-05,53.93,972.8451,50.65,804.527500000001,49.81,853.2339,52.26,796.6124,3 
2,4.27201224216918E-05,53.92,972.1936,50.66,804.7244,49.81,853.2339,52.26,796.6124,1 
3,0.000178001388983766,53.91,971.781900000001,50.67,804.5411,49.81,853.2339,52.26,796.6124,1 
4,6.62630405415508E-05,53.91,971.781900000001,50.67,804.5411,49.8,853.68,52.27,796.317100000001,3 
5,8.20430474797904E-05,53.91,971.781900000001,50.67,804.5411,49.79,853.0659,52.28,797.0816,3 
6,0.000106769113307517,53.9,972.230000000001,50.68,803.9976,49.79,853.0659,52.28,797.0816,1 
7,3.03936225019688E-05,53.9,972.230000000001,50.68,803.9976,49.78,852.3716,52.29,797.325900000001,3 
8,0.000159121990091961,53.9,972.230000000001,50.68,803.9976,49.77,852.677099999999,52.3,796.81,3 
9,5.70073621382139E-05,53.91,971.301900000001,50.67,803.1011,49.77,852.677099999999,52.3,796.81,2 
10,0.000143557594279249,53.91,971.301900000001,50.67,803.1011,49.76,851.9424,52.31,797.3939,3 
11,8.13392915121025E-05,53.9,972.070000000001,50.68,803.4176,49.76,851.9424,52.31,797.3939,1 
12,0.000451021289764344,53.89,972.0379,50.69,803.1539,49.76,851.9424,52.31,797.3939,1 
13,3.3881827729613E-06,53.88,971.4056,50.7,803.47,49.76,851.9424,52.31,797.3939,1 
14,0.00057339744425876,53.88,971.4056,50.7,803.47,49.77,850.997099999999,52.3,796.91,4 
15,5.75910068344267E-05,53.88,971.4056,50.7,803.47,49.76,850.0624,52.31,796.9539,3 
16,0.000159125000632914,53.87,971.0131,50.71,803.7859,49.76,850.0624,52.31,796.9539,1 
17,0.000839122515305999,53.87,971.0131,50.71,803.7859,49.75,850.9075,52.32,797.8576,3 
18,0.000197841268920644,53.87,971.0131,50.71,803.7859,49.74,850.1324,52.33,798.5211,3 
19,0.000414560476603395,53.87,971.0131,50.71,803.7859,49.73,849.6371,52.34,798.7844,3 
20,0.000901362494937831,53.86,970.2804,50.72,803.0416,49.73,849.6371,52.34,798.7844,1 
21,0.000326355699510285,53.86,970.2804,50.72,803.0416,49.72,849.1016,52.35,799.1475,3 
22,0.000596265474292341,53.86,970.2804,50.72,803.0416,49.71,849.6459,52.36,799.070399999999,3 
23,5.55343783240517E-05,53.85,969.4675,50.73,802.9571,49.71,849.6459,52.36,799.070399999999,1 
24,0.00278548199100047,53.85,969.4675,50.73,802.9571,49.7,850.489999999999,52.37,799.0131,3 
25,9.60014648098547E-05,53.84,968.654399999999,50.74,802.4924,49.7,850.489999999999,52.37,799.0131,1 
26,0.000285521164662887,53.84,968.654399999999,50.74,802.4924,49.69,850.7939,52.38,799.5156,3 
27,0.000292617211873271,53.83,968.2211,50.75,802.9475,49.69,850.7939,52.38,799.5156,1 
28,3.94155695412026E-05,53.83,968.2211,50.75,802.9475,49.68,850.0976,52.39,799.5179,3 
29,0.000144033931046856,53.83,968.2211,50.75,802.9475,49.67,850.2811,52.4,799.64,3 
30,0.00514443765581531,53.83,968.2211,50.75,802.9475,49.66,849.4244,52.41,798.6619,3 
31,0.0113218464614206,53.83,968.2211,50.75,802.9475,49.65,850.3875,52.42,799.3836,3 
32,0.000353779445932267,53.83,968.2211,50.75,802.9475,49.64,850.1704,52.43,799.8651,3 
33,7.46220285660973E-05,53.83,968.2211,50.75,802.9475,49.63,849.7931,52.44,800.1064,3 
34,2.17942484870815E-05,53.82,967.3876,50.76,803.4224,49.63,849.7931,52.44,800.1064,1 
35,9.13031374319236E-05,53.82,967.3876,50.76,803.4224,49.62,848.9156,52.45,799.8275,3 
36,0.000633983307840168,53.82,967.3876,50.76,803.4224,49.61,848.6179,52.46,799.9684,3 
37,0.000535263741270666,53.82,967.3876,50.76,803.4224,49.6,847.98,52.47,799.609100000001,3 
38,0.000159366499378546,53.82,967.3876,50.76,803.4224,49.59,847.8019,52.48,800.469599999999,3 
